,block_num,pair,trl_number,word,resp,RT,errors,subn
47,5,"(unnamed)/Death,Me/Life",1,Breathing,Me/Life,612,0,2
48,5,"(unnamed)/Death,Me/Life",2,Dead,(unnamed)/Death,10563,0,2
49,5,"(unnamed)/Death,Me/Life",3,Deceased,(unnamed)/Death,624,0,2
50,5,"(unnamed)/Death,Me/Life",4,Deceased,(unnamed)/Death,1203,0,2
51,5,"(unnamed)/Death,Me/Life",5,Them,(unnamed)/Death,997,0,2
52,5,"(unnamed)/Death,Me/Life",6,Suicide,(unnamed)/Death,548,0,2
53,5,"(unnamed)/Death,Me/Life",7,I,Me/Life,1611,0,2
54,5,"(unnamed)/Death,Me/Life",8,Living,Me/Life,832,0,2
55,5,"(unnamed)/Death,Me/Life",9,Their,(unnamed)/Death,862,0,2
56,5,"(unnamed)/Death,Me/Life",10,Breathing,Me/Life,3383,0,2
57,5,"(unnamed)/Death,Me/Life",11,Self,Me/Life,549,0,2
58,5,"(unnamed)/Death,Me/Life",12,Alive,Me/Life,719,0,2
59,5,"(unnamed)/Death,Me/Life",13,Myself,Me/Life,488,0,2
60,5,"(unnamed)/Death,Me/Life",14,Dead,(unnamed)/Death,550,0,2
61,5,"(unnamed)/Death,Me/Life",15,They,(unnamed)/Death,549,0,2
62,5,"(unnamed)/Death,Me/Life",16,Thrive,Me/Life,958,1,2
63,5,"(unnamed)/Death,Me/Life",17,Other,(unnamed)/Death,785,1,2
88,5,"(unnamed)/Death,Me/Life",18,Die,(unnamed)/Death,6650,0,2
89,5,"(unnamed)/Death,Me/Life",19,Mine,Me/Life,763,0,2
184,0,"(unnamed)/Death,Me/Life",0,Dead,(unnamed)/Death,1191,1,3
185,0,"(unnamed)/Death,Me/Life",1,Deceased,(unnamed)/Death,33,0,3
187,0,"(unnamed)/Death,Me/Life",2,Living,Me/Life,599,0,3
188,0,"(unnamed)/Death,Me/Life",3,Thrive,Me/Life,893,0,3
189,0,"(unnamed)/Death,Me/Life",4,Breathing,Me/Life,636,0,3
186,0,"(unnamed)/Death,Me/Life",5,They,(unnamed)/Death,809,0,3
190,0,"(unnamed)/Death,Me/Life",6,Suicide,(unnamed)/Death,710,0,3
191,0,"(unnamed)/Death,Me/Life",7,Other,(unnamed)/Death,767,0,3
192,0,"(unnamed)/Death,Me/Life",8,Living,Me/Life,523,0,3
193,0,"(unnamed)/Death,Me/Life",9,Myself,Me/Life,1003,0,3
194,0,"(unnamed)/Death,Me/Life",10,Dead,(unnamed)/Death,1048,0,3
195,0,"(unnamed)/Death,Me/Life",11,I,Me/Life,1129,0,3
